"user_id","month","language","age","total_users","paid_users","total_revenue","arppu","mrr","new_paid_users","revenue_new_users","new_mrr","churned_users","previous_paid_users","churn_rate","churned_revenue","revenue_churn_rate","expansion_mrr","contraction_mrr"
HxWcXHURvvtOJkrXAcDxQg==,3,uk,15,2,1,66.18,66.18,132.36,1,66.18,132.36,0,0,0,0,0.00000000000000000000,0.00,0.00
b3TBQFxyCxxypmPajF+jXw==,3,uk,15,1,1,13.98,13.98,13.98,1,13.98,13.98,0,0,0,0,0.00000000000000000000,0.00,0.00
"75lEf3nSWLSf6GncqhR9gQ==",3,ru,22,1,1,14.1,14.10,14.10,1,14.1,14.10,0,0,0,0,0.00000000000000000000,0.00,0.00
"99X4aLWWjAIgmlXjrXQIgg==",3,ru,22,1,1,16.98,16.98,16.98,1,16.98,16.98,1,0,1,0,0.00000000000000000000,0.00,0.00
"7SeM1pmnTTTXfhI+x3ldng==",3,ru,22,2,1,34.74,34.74,69.48,1,34.74,69.48,0,0,0,0,0.00000000000000000000,0.00,0.00
CCwTMcGtpirFFuqzSeTyaQ==,3,uk,18,1,1,15.84,15.84,15.84,1,15.84,15.84,0,0,0,0,0.00000000000000000000,0.00,0.00
ZmjMhgyYl6o8iFq964FEWg==,4,ru,17,2,1,56.70,56.70,113.40,0,0,,0,1,0,56.70,0,0.00,50.40
hRkRI5YBVIH6bbqIDTbung==,4,uk,19,3,1,67.26,67.26,201.78,1,67.26,201.78,0,0,0,0,0.00000000000000000000,0.00,0.00
aQDvOXzsDAJWi3Y47ptRPg==,4,ru,20,1,1,15.21,15.21,15.21,1,15.21,15.21,0,0,0,0,0.00000000000000000000,0.00,0.00
nklUUkirU5GYU5ZtNOgx8w==,4,ru,20,1,1,19.11,19.11,19.11,1,19.11,19.11,0,0,0,0,0.00000000000000000000,0.00,0.00
"2FYEYdoJMUOtbJ6TruruWA==",4,ru,20,2,1,56.85,56.85,113.70,1,56.85,113.70,0,0,0,0,0.00000000000000000000,0.00,0.00
TWDA+aUZ8OPMHOtz5cPPXA==,4,ru,20,3,1,62.58,62.58,187.74,1,62.58,187.74,0,0,0,0,0.00000000000000000000,0.00,0.00
"4btLP2zvi8eBV0t08fdkKQ==",4,ru,20,5,1,125.97,125.97,629.85,0,0,,0,1,0,125.97,0.67098114413550655161,612.06,0.00
"3iITAz/ADjFv3PDTgTjxSg==",4,ru,16,3,1,81.42,81.42,244.26,0,0,,0,1,0,81.42,0.12926887354131936175,220.50,0.00
DqezK7HAqZ+GovyRuzxD1A==,4,uk,23,3,1,83.19,83.19,249.57,1,83.19,249.57,0,0,0,0,0.00000000000000000000,0.00,0.00
AN9at3LlvDamqXq8dvHD4w==,4,ru,24,3,1,64.50,64.50,193.50,0,0,,0,1,0,64.50,0.25844452458228152422,109.44,0.00
W6fRYNhsTNHQkvkoFEUaVQ==,4,uk,16,3,1,57.72,57.72,173.16,0,0,,0,1,0,57.72,0.29829457364341085271,28.17,0.00
ZxxZ87IcpgSh4lQ/VSIjnA==,4,uk,22,2,1,42.18,42.18,84.36,1,42.18,84.36,0,0,0,0,0.00000000000000000000,0.00,0.00
"75lEf3nSWLSf6GncqhR9gQ==",4,ru,22,4,1,65.97,65.97,263.88,0,0,,0,1,0,65.97,0.78200568990042674253,249.78,0.00
dpfu6t8G4blqMn55KM8bSg==,4,uk,16,1,1,33.03,33.03,33.03,1,33.03,33.03,0,0,0,0,0.00000000000000000000,0.00,0.00
Y/nf8iBu/UCaNAuIRRjVwA==,4,uk,15,1,1,20.43,20.43,20.43,0,0,,0,1,0,20.43,0.61852861035422343324,0.00,3.84
Grpkzd4XIHh+ZbTMNxnUGg==,4,ru,30,2,1,35.55,35.55,71.10,1,35.55,71.10,0,0,0,0,0.00000000000000000000,0.00,0.00
Ghk2iJmzSUW4qLsmJgwOcw==,4,uk,16,5,1,128.40,128.40,642.00,0,0,,0,1,0,128.40,1.8059071729957806,624.87,0.00
Wua5DlzLb2yNeSrcG9Xi3g==,4,uk,23,3,1,59.85,59.85,179.55,1,59.85,179.55,0,0,0,0,0.00000000000000000000,0.00,0.00
"7SeM1pmnTTTXfhI+x3ldng==",4,ru,22,4,1,105.96,105.96,423.84,0,0,,0,1,0,105.96,0.59014202172096908939,354.36,0.00
s27V1tbCAysovKSY1XcdWQ==,4,uk,34,2,1,39.48,39.48,78.96,0,0,,0,1,0,39.48,0.09314835787089467724,56.01,0.00
Hamw6F2EZmJfI2glmE2NEg==,4,ru,24,2,1,42.24,42.24,84.48,1,42.24,84.48,0,0,0,0,0.00000000000000000000,0.00,0.00
iFnn4bfYgNs8OS5MCcLjeA==,4,uk,28,1,1,18.39,18.39,18.39,1,18.39,18.39,0,0,0,0,0.00000000000000000000,0.00,0.00
DorDcyqBWMg5IEaflqn5Xw==,4,ru,23,3,1,50.16,50.16,150.48,1,50.16,150.48,0,0,0,0,0.00000000000000000000,0.00,0.00
"7EPlnA7OQ9MhMx+od6FA9g==",4,ru,23,4,1,114.15,114.15,456.60,0,0,,0,1,0,114.15,0.75857256778309409888,0.00,495.42
pz7LUOs9i7xgncmHVxQvOw==,4,ru,24,1,1,19.5,19.50,19.50,0,0,,0,1,0,19.5,0.04270696452036793693,0.00,53.52
BJlqmsfEshc/QjsD7VgEjg==,4,ru,18,2,1,30.66,30.66,61.32,1,30.66,61.32,0,0,0,0,0.00000000000000000000,0.00,0.00
ShEJVi+TtuQlvdw2uetd/Q==,4,uk,22,4,1,131.97,131.97,527.88,1,131.97,527.88,0,0,0,0,0.00000000000000000000,0.00,0.00
o55dseByUOl9s5IQCz1kuQ==,4,uk,22,5,1,86.88,86.88,434.40,0,0,,0,1,0,86.88,0.16458285974085019323,411.24,0.00
eCd4MBHIR4qUWapg05TFLQ==,4,ru,18,1,1,23.04,23.04,23.04,1,23.04,23.04,0,0,0,0,0.00000000000000000000,0.00,0.00
GEAVJz1gd3SThbDZR01fcA==,4,uk,14,3,1,87.36,87.36,262.08,1,87.36,262.08,0,0,0,0,0.00000000000000000000,0.00,0.00
ilnMSoPJHAYMegDX02XG+w==,4,uk,25,2,1,54.03,54.03,108.06,1,54.03,108.06,0,0,0,0,0.00000000000000000000,0.00,0.00
Jp0hnV9XOJGVV5jpFhlqgQ==,4,uk,25,3,1,56.16,56.16,168.48,0,0,,0,1,0,56.16,0.51971127151582454192,0.00,444.72
OwODWxXcsV4bBnhONiLkwg==,4,uk,25,1,1,14.37,14.37,14.37,1,14.37,14.37,1,0,1,0,0.00000000000000000000,0.00,0.00
orbgZNBGuhZZx63HTAbyIw==,4,uk,25,3,1,62.13,62.13,186.39,1,62.13,186.39,0,0,0,0,0.00000000000000000000,0.00,0.00
WAdVK2sJHdBL0bCFyVa0ww==,4,uk,14,1,1,24.09,24.09,24.09,1,24.09,24.09,1,0,0,0,0.00000000000000000000,0.00,0.00
HZqx1XVZ1mb7lM9T61x+DA==,4,ru,43,1,1,14.61,14.61,14.61,1,14.61,14.61,0,0,0,0,0.00000000000000000000,0.00,0.00
ojVPXYZw2oeGtcmG7LcLGA==,4,en,20,1,1,21.33,21.33,21.33,1,21.33,21.33,0,0,0,0,0.00000000000000000000,0.00,0.00
HxWcXHURvvtOJkrXAcDxQg==,4,uk,15,3,1,82.53,82.53,247.59,0,0,,0,1,0,82.53,3.8691983122362869,115.23,0.00
fCdEizmUtnjNYQLbx81H8g==,4,ru,16,1,1,18.12,18.12,18.12,1,18.12,18.12,1,0,0,0,0.00000000000000000000,0.00,0.00
"3Whh6FLR1MSfsuHKVdCEYQ==",4,uk,21,3,1,59.67,59.67,179.01,1,59.67,179.01,0,0,0,0,0.00000000000000000000,0.00,0.00
xiXTXOEbWU+HnGOUmgc9/w==,4,uk,20,5,1,99.84,99.84,499.20,0,0,,0,1,0,99.84,0.55773420479302832244,475.02,0.00
jVhb69DTRT5TSWYEiUrlbg==,4,uk,20,2,1,58.44,58.44,116.88,0,0,,0,1,0,58.44,0.11706730769230769231,99.42,0.00
"787jk0VnxM8/sv/0TkvO6A==",4,uk,20,3,1,53.49,53.49,160.47,0,0,,0,1,0,53.49,0.45764887063655030801,63.57,0.00
"4b7l8C489HEJirtoe7xtFg==",4,uk,20,1,1,14.94,14.94,14.94,0,0,,0,1,0,14.94,0.09310151430173864274,0.00,39.36
lCD23Awt3KotauWenCRr5w==,4,uk,20,2,1,47.94,47.94,95.88,1,47.94,95.88,0,0,0,0,0.00000000000000000000,0.00,0.00
SyWxmJ+Ha8K2C9UJt8blVA==,4,ru,25,1,1,16.8,16.80,16.80,0,0,,0,1,0,16.8,0.17521902377972465582,0.00,94.44
T+RA0/fgzbUBLF89D4AEDA==,4,ru,23,2,1,45.48,45.48,90.96,0,0,,0,1,0,45.48,2.7071428571428571,74.85,0.00
B4b6v6eUHvAVOeAQk6EEiw==,4,ru,23,3,1,63.60,63.60,190.80,0,0,,0,1,0,63.60,0.69920844327176781003,175.50,0.00
Fqu+/F0rn1G4YP3f3yHA1Q==,4,uk,21,1,1,26.28,26.28,26.28,1,26.28,26.28,0,0,0,0,0.00000000000000000000,0.00,0.00
hkNuy6dTFIFcsQQfT5YkwQ==,4,uk,21,1,1,20.25,20.25,20.25,1,20.25,20.25,1,0,1,0,0.00000000000000000000,0.00,0.00
Dbff3x5cRk6/tUY3WQdzFQ==,4,uk,21,3,1,60.57,60.57,181.71,1,60.57,181.71,0,0,0,0,0.00000000000000000000,0.00,0.00
H2Tik+BqoLgAQX4uSw/8vA==,4,uk,30,1,1,14.34,14.34,14.34,1,14.34,14.34,0,0,0,0,0.00000000000000000000,0.00,0.00
Lug+Yg90jslWgHEN6dc+Ng==,4,uk,21,4,1,82.23,82.23,328.92,1,82.23,328.92,0,0,0,0,0.00000000000000000000,0.00,0.00
A1qVjssGQ+ZUWZu3Z5DzTA==,4,uk,24,1,1,13.95,13.95,13.95,0,0,,0,1,0,13.95,0.04241152863918278001,0.00,121.86
l3sFUsG2qpcnrEzwRnjvtQ==,4,ru,15,3,1,59.73,59.73,179.19,0,0,,1,1,0,59.73,4.2817204301075269,102.99,0.00
"7zbxKst2yi3pfdVI8iEChw==",4,ru,15,1,1,23.31,23.31,23.31,1,23.31,23.31,0,0,0,0,0.00000000000000000000,0.00,0.00
gPRMy8HkmaiyX+13OxuP/A==,4,ru,21,3,1,55.86,55.86,167.58,1,55.86,167.58,0,0,0,0,0.00000000000000000000,0.00,0.00
xnLJlU804PSS9tXKmm7gZQ==,4,ru,21,2,1,26.61,26.61,53.22,1,26.61,53.22,0,0,0,0,0.00000000000000000000,0.00,0.00
nPrRQwP3UZo2KBlM2mJ8fg==,4,uk,24,1,1,31.68,31.68,31.68,1,31.68,31.68,0,0,0,0,0.00000000000000000000,0.00,0.00
"06RPvlsFPCmM9ag+iSM/Ag==",4,ru,34,1,1,12.03,12.03,12.03,1,12.03,12.03,0,0,0,0,0.00000000000000000000,0.00,0.00
zSepnWFgLH0tQb1s4mxKZQ==,4,uk,24,3,1,71.52,71.52,214.56,0,0,,0,1,0,71.52,5.9451371571072319,191.55,0.00
V7J42heW8l19wiBJ8UpRyw==,4,ru,25,2,1,36.84,36.84,73.68,0,0,,0,1,0,36.84,0.17170022371364653244,0.00,75.72
Veep00i4vvZbTAVD6GMoiA==,4,uk,38,3,1,48.33,48.33,144.99,0,0,,0,1,0,48.33,0.65594462540716612378,132.27,0.00
"7luG+f1d+Ri4AjeMbFR1Xw==",4,uk,29,1,1,16.92,16.92,16.92,1,16.92,16.92,0,0,0,0,0.00000000000000000000,0.00,0.00
CCwTMcGtpirFFuqzSeTyaQ==,4,uk,18,1,1,20.76,20.76,20.76,0,0,,1,1,0,20.76,1.2269503546099291,4.92,0.00
J6WNl39fdxaY8ZtvV8wNkw==,4,uk,18,1,1,18.42,18.42,18.42,0,0,,0,1,0,18.42,0.88728323699421965318,2.28,0.00
iFFApiXZ2wPdS666BLpKZw==,4,uk,18,3,1,49.92,49.92,149.76,0,0,,0,1,0,49.92,2.7100977198697068,122.91,0.00
b3TBQFxyCxxypmPajF+jXw==,4,uk,15,1,1,14.82,14.82,14.82,0,0,,0,1,0,14.82,0.09895833333333333333,0.84,0.00
"2Tm77AxZ7h7oCNKgCgMpnQ==",4,uk,23,2,1,54.96,54.96,109.92,1,54.96,109.92,0,0,0,0,0.00000000000000000000,0.00,0.00
